tema,art_atual,art_plc,tipo,sintese,atencao
Estrutura geral,~640 arts.,335 arts.,Redução,Corte de ~48% dos dispositivos e consolidação de ~24 normas em texto único,NÃO
Princípios e objetivos,—,2–3; 10,Novo,Moldura principiológica (função socioambiental; direito à cidade; gestão democrática) ao lado de desburocratização e livre iniciativa,SIM
Sistema de multas,603–616-B,299–312,Alterado,Valores em R$ fixos substituídos por faixas em UFESP com dosimetria; atenuantes/agravantes e tratamento diferenciado a MEI/ME/EPP,SIM
Multa de terrenos sujos,141 §3º,101,Alterado,Multa fixa de R$ 15.067;25 vira multa DIÁRIA de 380–432 UFESP até a conclusão dos serviços — potencial multiplicador relevante,SIM
Horário de funcionamento,435–454,229–232,Desregulamentação,Tabela minuciosa de horários por ramo substituída por regra geral de respeito ao sossego; liberdade de horário,NÃO
Instalações elétricas e mecânicas,309–426,217–220,Remoção,118 artigos suprimidos (caldeiras; elevadores; ascensoristas; escadas rolantes); remissão a ABNT/Código de Edificações,NÃO
Inflamáveis; explosivos e postos,506–537,—,Remoção,Capítulo desaparece sem regra de transição; some a distância mínima de 200 m de escolas/hospitais para novos postos,SIM
Segurança no trabalho,552–567,—,Remoção,Matéria federal (CLT/NRs) — correção de invasão de competência,NÃO
Pesos e medidas,568–572,—,Remoção,Matéria do Inmetro/IPEM — correção de sobreposição,NÃO
Drenagem urbana,—,105–127,Novo Título,Obrigações a imóveis; construtoras (responsabilidade de 5 anos) e concessionárias; multas de até 20.000 UFESP,SIM
Concessionárias e cabeamento,—,263–279,Novo,Corresponsabilidade do dono do poste; vedação de novos cabos em postes saturados; remoção de fiação obsoleta,SIM
Termo de compromisso,—,293–298,Novo,Alternativa negociada à sanção; título executivo extrajudicial; prazo improrrogável,SIM
Emparedamento e lacração,627-A (LC 866/2014),317–326,Sistematizado,Já existia desde 2014; PLC generaliza; recurso sem efeito suspensivo; custo +100%,SIM
Cassação de licença,433–434,327,Alterado,Impedimento sobe de 3 para 5 anos e passa a alcançar os sócios em qualquer estabelecimento,SIM
Fogos de artifício,200 (LC 955/2017),139,Mantido,Proibição de fogos de estampido preservada; vedada a instalação de estabelecimentos que os comercializem,NÃO
Sossego e ruído,191–204,83–86; 137–143,Alterado,Limites por NBR 10151/10152; obras das 8h às 18h (sáb. 8h–14h); tolerâncias tipificadas (carnaval; artistas de rua; cultos),NÃO
Praias,217–222,146–155,Alterado,Esportes; barracas e uso geral remetidos a decreto; proibição de som; captura de corrupto vedada,SIM
Cães na praia,294-A (LC 1140/2021),206,Condensado,Área/horário por ato do Executivo; caem as análises mensais obrigatórias da areia com publicação no DO [Verificar],SIM
Banho e tosa / hotéis de animais,300-B (LC 1217/2023),212,Alterado,Guarda de imagens cai de 60 para 30 dias; hotéis e creches de animais saem do rol de obrigados [Verificar],SIM
Charretes e carroças,300 IX (LC 1105/2020),210 III,Alterado,Proibição total de charretes e carroças em qualquer área do Município,NÃO
Publicidade,241–249-B,179–183,Condensado,Limite de 25% da fachada e prazos de licença suprimidos; colagem em postes e panfletagem em residências seguem vedadas; multa ao anunciante,SIM
Licenciamento de atividades,427–434,221–228,Alterado,Consulta prévia de viabilidade; AVCB e Licença Ambiental para alto risco; emissão do alvará disponibilizada no site (art. 224) mantida a afixação em local visível (art. 224 §1º); responsabilização do proprietário do imóvel (221 §4º),SIM
Diversões públicas e eventos,471–493,237–247,Alterado,Licença para lotação >300; CCT com ARTs; eventos >1.500 pessoas exigem enfermagem/ambulância/brigada,NÃO
Fiscalização,573–585,280–292,Alterado,Notificação pessoal/postal/eletrônica/edital; multa de 60–600 UFESP por obstruir fiscalização; prerrogativas e deveres dos fiscais tipificados,NÃO
Comissão Consultiva do Código,636,—,Remoção,Órgão colegiado de interpretação do Código desaparece,NÃO
Delegações a decreto,—,154; 167 I; 233; 288 VII,Novo padrão,Uso das praias; largura de calçadas; comércio viário e prazos de notificação remetidos a regulamento do Executivo,SIM
Cláusula revogatória,640,334,Alterado,Revogação nominal de ~24 normas; dezenas de LCs alteradoras da Lei 3.531/68 não constam da lista [Verificar],SIM
Mesas e cadeiras em passeios,233–234,174,Condensado,Faixa livre mínima de 1;50 m deixa de constar em lei; passa a depender de regulamento,SIM
